team_position,y,x
lb,87.74159399999999,53.7950457
wb,89.262302,78.8867317
lw,89.262304,102.07752070000001
wf,89.262304,123.55753070000002
lh,77.286728,44.1005297
lwb,80.328144,68.2417727
lcb,71.013809,57.2166377
lm,68.73274599999999,102.07752070000001
aml,67.972393,122.2269007
lf,73.675049,152.8311507
ls,62.079651,144.2771707
cf,60.558941000000004,161.1950407
ss,48.96353499999999,150.36001069999998
st,38.888859,161.1950407
rf,25.772746999999995,153.0212307
rs,36.60779199999999,144.6573507
rw,9.23504899999999,102.07752070000001
lb-61,9.425128999999998,124.3178907
lb-8,8.664778999999996,79.2668967
rb,10.565658999999997,53.604958700000005
rwb,19.68990699999999,68.0516787
amr,30.334873,122.9872607
rm,29.954692999999992,102.07752070000001
am,42.50053,115.5738107
cam,49.343716,128.1196507
amc,55.426552,115.1936307
cm,55.616646,102.07752070000001
m,42.31044399999999,102.07752070000001
cdm,49.72390399999999,89.9118627
dm,50.294169999999994,78.1263637
cb,57.707615000000004,57.4067317
ch,43.26088299999999,57.216641700000004
rcb,29.574519999999993,57.4067207
rh,20.830440999999993,46.001420700000004
sw,49.91398199999999,46.191506700000005
gk,49.91398199999999,33.2654817
