size,cl,dout,din
Rebellyon.info,5,0,22
Rue89lyon.fr,5,77,21
lahorde.Samizdat.net,5,55,18
Fakirpresse.info,5,15,17
Paris-Luttes.info,5,112,15
Lundi.am,5,90,10
Monde-Libertaire.fr,5,22,4
Santeplusmag.com,6,6,20
Eddenya.com,6,1,14
Astucesnaturelles.net,6,0,10
Pausecafein.fr,6,3,8
Topsante.org,6,0,5
Bilboquet-Magazine.fr,6,6,4
Buzzly.fr,6,4,4
Footballfrance.fr,6,10,4
Astucerie.net,6,11,3
Herault-Tribune.com,6,1,3
Jesuisfrancais.net,6,1,3
Telez.fr,6,0,3
Tomimag.fr,6,0,3
Bestsante.com,6,4,2
Commentaires.com,6,2,2
Familysante.com,6,1,2
messagesdelanature.Ek.la,6,0,2
Purfi.com,6,0,2
T0pibuzz.com,6,0,2
Radioorient.com,6,0,2
Nousdeux.fr,6,0,2
Autohebdo.fr,6,0,2
Bmf-News.com,6,0,2
Lepetitbuzz.fr,6,1,2
Actumag.info,6,2,1
Buzzarena.com,6,3,1
Cool-Buzz.net,6,0,1
Corsemachin.com,6,0,1
Darons.net,6,1,1
edukactus.Wordpress.com,6,10,1
Jeanpaulney.com,6,2,1
Nrpyrenees.fr,6,1,1
Penserlibrement.fr,6,1,1
Protegetasante.net,6,0,1
Ravelations.fr,6,0,1
Topastuces.net,6,9,1
Liberation.fr /blogs,6,1,1
Maxi-Mag.fr,6,0,1
Rocknfolk.com,6,0,1
Fhm.com,6,0,1
Midi-Olympique.fr,6,0,1
Akhnapress.com,6,0,0
Astuce-Du-Jour.net,6,9,0
Astuces-Femmes.net,6,12,0
Astucesdesfemmes.com,6,11,0
Buzzbeed.com,6,4,0
Buzzdemois.com,6,0,0
Buzzligne.com,6,0,0
Cuisine-Et-Sante.net,6,0,0
Euroscoop.fr,6,7,0
humourdedroite.Tumblr.com,6,0,0
Infosmaintenant.net,6,7,0
La-Suite-Mobile.com,6,0,0
Lasirenedupaysbasque.fr,6,0,0
Lastucieuse.com,6,11,0
Lenvoidunord.fr,6,0,0
Lespipelettes.net,6,0,0
Lifeands.com,6,1,0
Mespropresrecherches.com,6,0,0
Mondebuzz.net,6,0,0
Occitanie-Tribune.com,6,1,0
Ojobuzz.co,6,2,0
Piremedias.com,6,1,0
Santeacademy.com,6,0,0
Telecablesat.fr,6,1,0
Tfi-Info.com,6,1,0
Topdunet.org,6,9,0
Vieincroyable.com,6,0,0
interetsprives.Grouperf.com,6,1,0
Moto-Journal.fr,6,1,0
Lepique.com,6,0,0
Magazine-Du-Net.net,6,12,0
Atlantico.fr,7,54,90
francais.Rt.com,7,30,86
fr.Sputniknews.com,7,52,83
Valeursactuelles.com,7,33,74
Fdesouche.com,7,80,57
Boursorama.com,7,6,57
Causeur.fr,7,80,56
Contrepoints.org,7,106,55
fr.Euronews.com,7,63,45
Legorafi.fr,7,57,29
Maitre-Eolas.fr,7,145,17
Al-Kanz.org,7,82,16
ovniparanormal.Over-Blog.com,7,84,2
Patriote.info,7,44,1
Electrosensible.info,7,83,0
Bvoltaire.fr,8,5,59
Breizh-Info.com,8,71,50
Medias-Presse.info,8,59,45
Dreuz.info,8,95,43
Reinformation.tv,8,66,42
Ripostelaique.com,8,72,42
Ndf.fr,8,52,36
Contribuables.org,8,30,35
Europe-Israel.org,8,107,35
lesalonbeige.Blogs.com,8,0,34
fr.Novopress.info,8,122,34
Polemia.com,8,115,34
Tvlibertes.com,8,3,34
Resistancerepublicaine.eu,8,127,28
24heuresactu.com,8,50,26
Christianophobie.fr,8,76,26
Lagauchematuer.fr,8,19,26
Contre-Info.com,8,102,23
Delitdimages.org,8,35,22
Jssnews.com,8,17,21
Les4verites.com,8,37,20
Enquete-Debat.fr,8,2,18
Nice-Provence.info,8,0,14
Radiocourtoisie.fr,8,25,14
Actionfrancaise.net,8,12,14
Infos-Bordeaux.fr,8,26,12
Lebreviairedespatriotes.fr,8,4,11
Lengadoc-Info.com,8,31,10
Minute-Hebdo.fr,8,10,10
Parisvox.info,8,14,8
Citoyens-Et-Francais.fr,8,119,7
Reseaulibre.org,8,97,7
Infos-Toulouse.fr,8,46,7
ns2017.Wordpress.com,8,39,7
Peupledefrance.com,8,77,6
Les-Identitaires.com,8,17,5
Nos-Medias.fr,8,17,5
